cba,language,readability,diveristy,accessibility
acordo-coletivo-entre-a-ren---redes-energ-ticas-nacionais-sgps-sa-e-outras-e-a-fiequimetal,pt,3.0,3.0,3.0
acordo-coletivo-entre-a-ren---redes-energ-ticas-nacionais-sgps-sa-e-outras-e-a-fiequimetal-2015,pt,1.0,3.0,2.14
acordo-colectivo-entre-a-pt-comunica-es-s-a-e-outras-e-o-sindetelco-sindicato-democr-tico-das-comunica-es-e-dos-m-dia-e-outros-revis-o-global-2011,pt-pt,1.0,1.0,1.0
act-entre-a-sociedade-de-panifica-o-sul-do-tejo-l-da-e-outras-e-a-fesaht-federa-o-dos-sindicatos-de-agricultura-alimenta-o-bebidas-hotelaria-e-turismo-de-portugal-revis-o-global-2010,pt,3.67,2.5,3.0
acordo-de-empresa-entre-a-petrogal-sa-e-a-federa-o-de-sindicatos-da-ind-stria-energia-e-transportes---cofesint-e-outros---revis-o-global-2019,pt,3.0,3.0,3.0
acordo-de-empresa-entre-a-somincor---sociedade-mineira-de-neves-corvo-sa-e-o-sindicato-dos-trabalhadores-da-ind-stria-mineira-2019,pt,4.0,3.5,3.71
acordo-de-empresa-entre-a-operestiva---empresa-de-trabalho-portu-rio-de-set-bal-l-da-e-o-s-e-p-265---sindicato-estivadores-portu-rios-set-bal---stpset-2019,pt,2.33,3.0,2.71
acordo-de-empresa-entre-a-the-navigator-company-sa-e-a-federa-o-de-sindicatos-da-ind-stria-energia-e-transportes---cofesint-e-outra---revis-o-global-2019,pt,4.67,3.25,3.86
acordo-coletivo-entre-a-lacticoop---uni-o-de-cooperativas-de-produtores-de-leite-de-entre-douro-e-mondego-ucrl-e-outra-e-o-sindicato-dos-profissionais-de-lactic-nios-alimenta-o-agricultura-escrit-rios-com-rcio-servi-os-transportes-rodovi-rios-metalomec-nica-metalurgia-constru-o-civil-e-madeiras-e-outro---revis-o-global-2018,pt,4.0,2.5,3.14
acordo-de-empresa-entre-a-soflusa---sociedade-fluvial-de-transportes-sa-e-o-sindicato-dos-transportes-fluviais-costeiros-e-da-marinha-mercante-e-outros---altera-o-salarial-e-outras-e-texto-consolidado-2019,pt,2.33,3.0,2.71
acordo-coletivo-entre-a-meo---servi-os-de-comunica-es-e-multim-dia-sa-e-outras-e-o-sindicato-nacional-dos-trabalhadores-das-telecomunica-es-e-audiovisual---sinttav-e-outros---revis-o-global-2018,pt,2.33,3.0,2.71
acordo-coletivo-entre-a-infraestruturas-de-portugal-sa-e-outras-e-o-sindicato-nacional-dos-trabalhadores-do-sector-ferrovi-rio-e-outros---revis-o-global-2019,pt,2.33,3.0,2.71
act-entre-a-unicer-bebidas-de-portugal-sgps-s-a-e-o-sind-nacional-dos-trabalhadores-da-ind-e-com-rcio-de-alimenta-o-bebidas-e-afins-e-outros-revis-o-global-2005,pt,2.67,2.5,2.57
act-entre-a-douro-acima-transportes-turismo-e-restaura-o-l-da-e-outras-e-a-fesmar-feder-de-sind-dos-trabalhadores-do-mar-e-outras2015,pt,4.67,2.25,3.29
acordo-coletivo-entre-a-edp---energias-de-portugal-sa-e-outras-e-a-fiequimetal---revis-o-global-2015,pt,3.67,3.0,3.29
acordo-de-empresa-entre-a-easyjet-airline-company-limited---sucursal-em-portugal-e-o-sindicato-nacional-do-pessoal-de-voo-da-avia-o-civil---snpvac---revis-o-global-2019,pt,3.0,3.25,3.14
acordo-de-empresa-entre-a-transtejo---transportes-tejo-sa-e-o-sindicato-dos-trabalhadores-da-marinha-mercante-ag-ncias-de-viagens-transit-rios-e-pesca-simamevip---altera-o-salarial-e-outras-e-texto-consolidado-2017,pt,2.0,3.0,2.57
act-entre-a-cimianto-soc-t-cnica-hidr-ulica-s-a-e-outra-e-a-fetese-feder-dos-sind-dos-trabalhadores-de-servi-os-e-outros-revis-o-global-2005,pt,3.33,2.5,2.86
acordo-de-empresa-entre-a-ups-of-portugal---transportes-internacionais-de-mercadorias-sociedade-unipessoal-l-da-e-o-sindicato-nacional-dos-trabalhadores-dos-correios-e-telecomunica-es-sntct-2019,pt,1.0,3.5,2.43
acordo-coletivo-entre-a-douro-azul---sociedade-mar-timo--tur-stica-sa-e-outras-e-a-federa-o-de-sindicatos-dos-trabalhadores-do-mar---fesmar---revis-o-global-2018,pt,4.0,2.75,3.29
acordo-coletivo-de-trabalho-entre-v-rias-caixas-de-cr-dito-agr-cola-m-tuo-e-o-sind-nacional-dos-quadros-e-t-cnicos-banc-rios-e-outro-revis-o-global-,pt,3.33,2.75,3.0
acordo-de-empresa-entre-caima---ind-stria-de-celulose-sa-e-o-sindicato-dos-trabalhadores-e-t-cnicos-de-servi-os-com-rcio-restaura-o-e-turismo---sitese,pt,3.0,3.0,3.0
acordo-coletivo-entre-a-bp-portugal---com-rcio-de-combust-veis-e-lubrificantes-sa-e-outras-e-a-federa-o-de-sindicatos-da-ind-stria-energia-e-transportes---cofesint-e-outra---revis-o-global,pt,2.67,2.5,2.57
brisa---auto-estradas-de-portugal-sa-e-outras-e-o-sindicato-da-constru-o-obras-p-blicas-e-servi-os---setaccop,pt,2.67,2.75,2.71
contrato-coletivo-antrop-e-strup,pt,4.0,3.0,3.43
acordo-coletivo-entre-as-guas-do-norte-sa-e-outras-e-o-stal---sindicato-nacional-dos-trabalhadores-da-administra-o-local-e-regional-empresas-p-blicas-concession-rias-e-afins-e-outra,pt,2.0,3.75,3.0
institui-es-de-cr-dito-e-febase,pt,3.33,3.0,3.14
associa-o-dos-comer-ciantes-do-porto-2014,pt,1.0,3.0,2.14
contrato-coletivo-entre-a-associa-o-dos-distribui-dores-de-produtos-alimentares-adipa-e-outras-e-o-sindicato-dos-trabalhadores-e-t-cnicos-de-servi-os---sitese---2016,pt,1.0,3.0,2.14
contrato-coletivo-entre-a-associa-o-nacional-das-farm-cias---anf-e-o-sindicato-nacional-dos-farmac-uticos---2016,pt,1.33,3.0,2.29
contrato-coletivo-entre-a-associa-o-nacional-de-comerciantes-e-industriais-de-produtos-alimentares-ancipa-e-a-federa-o-dos-sindicatos-da-ind-stria-e-servi-os---fetese-confeitaria-e-conserva-o-de-fruta---administrativos---2016,pt,4.0,2.75,3.29
associa-o-portuguesa-de-empresas-de-distribuicao-contrao-colectio-de-trabalho-2010,pt,3.33,2.5,2.86
aca---associacao-comercial-do-distrito-de-aveiro---2014,pt,1.67,3.0,2.43
global-framework-agreement-on-social-responsibility-and-sustainable-development-between-solvay-group-and-industriall-global-union-2017,en,2.0,3.0,2.5
collectieve-arbeidsovereenkomst-ikea-belgium-n-v---1989,fr,3.67,2.75,3.14
commission-paritaire-du-commerce-de-d-tail-ind-pendant-accord-sectoriel-2017-2018-,fr,1.33,3.25,2.43
commission-paritaire-des-grandes-entreprises-de-vente-au-d-tail-accord-sectoriel-2017-2018,fr,1.0,3.25,2.29
commission-paritaire-des-employes-du-commerce-de-detail-alimentaire-accord-sectoriel-2017-2018,fr,1.67,3.25,2.57
accord-sectoriel-entre-les-employeurs-et-les-travailleurs-de-la-commission-paritaire-des-grands-magasins---2017,fr,1.33,3.25,2.43
convention-collective-de-travail-entre-les-employeurs-et-employ-s-des-entreprises-ressortissantes-a-la-sous-commission-paritaire-pour-les-moyennes-entreprises-d-alimentation---2017-,fr,3.0,4.0,3.57
commerce-de-detail-accord-sectoriel-2015-2016,fr,1.0,3.5,2.43
commerce-de-gros-receuil-2011-12,fr,4.0,3.0,3.43
cao-handel-in-bouwmaterialen,nl,4.0,4.0,4.0
cao-universiteiten-2017-2019,nl,1.67,3.5,2.71
cao-dierenspeciaalzaak,nl,4.0,4.5,4.29
cao-dierenartsen-in-loondienst,nl,3.33,4.25,3.86
framework-agreement-signed-between-royal-bam-group-nv-and-building-and-woodworkers-international-bwi-to-promote-and-protect-worker-s-rights-2006,en,2.0,3.25,2.62
cao-vvt-2018-2019,nl,4.33,4.5,4.43
cao-prorail-2017-2019,nl,5.0,4.0,4.43
cao-mode-2019-2020,nl,4.0,3.75,3.86
cao-kpn-2019,nl,3.67,3.75,3.71
iuf--industriall-unilever-joint-commitment-to-preventing-sexual-harassment-2016,en,2.0,2.5,2.25
cao-timmerindustrie,nl,2.33,3.0,2.71
cao-gvb-2017-2018,nl,3.33,4.0,3.71
cao-contracting-2019-2020,nl,1.67,3.75,2.86
cao-beroepsgoederenvervoer-2019-2019,nl,3.67,4.5,4.14
cao-uitgeverijbedrijf-2017-2019,nl,2.0,4.25,3.29
cao-tatasteel-2019-2021,nl,3.33,3.5,3.43
cao-hoveniersbedrijf-2018-2020,nl,4.67,3.0,3.71
cao-leo-2017-2019,nl,4.0,4.25,4.14
cao-woondiensten-2019-2020,nl,3.0,4.25,3.71
cao-welzijn-2017-2019,nl,2.33,2.75,2.57
cao-vgl-2017-2019,nl,4.0,3.75,3.86
cao-supermarkten-2018-2020,nl,4.0,3.0,3.43
cao-plb-2018-2020,nl,4.33,3.0,3.57
cao-reisbranche-2018-2019,nl,3.0,4.25,3.71
cao-netwerkbedrijven-2018-2021,nl,4.0,4.5,4.29
cao-philips-2018-2019,nl,2.67,4.25,3.57
cao-ick-2019,nl,3.0,3.5,3.29
cao-drogisterijbranche-2017-2018,nl,4.33,4.75,4.57
cao-dhl-parcel-2017-2019,nl,4.67,4.25,4.43
cao-albert-heijn-logistics-2019-2021,nl,4.0,4.0,4.0
cao-politie-salaris-2020,nl,5.0,3.0,3.86
cao-timmerindustrie-salaris-2019,nl,5.0,3.0,3.86
cao-universiteiten-salaris-2019,nl,1.0,1.0,1.0
cao-technischinstallatiebedrijf-2019-2021,nl,3.67,3.25,3.43
cao-tandtechniek-2018-2019,nl,5.0,2.75,3.71
cao-uitvaartbranche-2018-2019,nl,2.33,4.0,3.29
cao-svb-2017-2020,nl,2.33,3.75,3.14
cao-sociaalwerk-2019-2021,nl,2.33,4.25,3.43
cao-schoonmaak-en-glazenwassersbedrijf-2019-2021,nl,4.0,4.25,4.14
cao-provincies-2020,nl,4.67,3.0,3.71
cao-vleessector-salaris-2018,nl,3.67,2.0,2.71
cao-vleessector-2017-2019,nl,2.0,4.5,3.43
cao-motorvoertuigen-en-tweewielerbedrijf-2018-2020,nl,3.0,3.5,3.29
cao-papierindustrie-2018-2020,nl,1.67,4.0,3.0
cao-kalksteen-en-cellenbetonindustrie-2019-2020,nl,1.0,3.5,2.43
cao-huisartsenzorg-2019-2020,nl,2.33,3.0,2.71
cao-carrosseriebedrijf-2019-2020,nl,3.67,4.0,3.86
cao-bakkersbedrijf-2019-2020,nl,2.33,3.0,2.71
cao-kinderopvang-2018-2019,nl,2.33,2.75,2.57
cao-postnl-zaterdagbestellers-2017-2018,nl,4.0,3.75,3.86
cao-postnl-postbezorgers-2017-2019,nl,4.33,3.75,4.0
cao-postnl,nl,4.67,4.5,4.57
cao-voor-tankstations-en-wasbedrijven-2017-2019,nl,3.33,4.5,4.0
cao-openbaar-vervoer-2018-2020-,nl,2.33,4.25,3.43
cao-metaal-en-techniek-2019-2021,nl,3.67,4.0,3.86
cao-heineken-netherlands-beheer-b-v-,nl,3.33,3.0,3.14
cao-jeugdzorg-2017-2019,nl,4.67,3.75,4.14
cao-heineken-group-b-v-2018-2019,nl,3.33,4.75,4.14
cao-particuliere-beveiliging-,nl,2.67,4.5,3.71
cao-voor-de-groothandel-in-groenten-en-fruit-2019-2020,nl,3.33,3.0,3.14
cao-uitzend-nbbu-2019-2021,nl,2.0,3.75,3.0
cao-abu-2019-2021,nl,2.33,3.75,3.14
cao-slagersbedrijf-2019,nl,1.67,3.75,2.86
cao-gemeenten-2020-2021,nl,3.0,3.5,3.29
cao-sanquin-2017-2019,nl,1.67,3.5,2.71
bouw-en-infra-2018-2019,nl,2.67,4.5,3.71
cao-ziekenhuizen-2017-2019,nl,2.67,3.5,3.14
cao-tankstation-en-wasbedrijven-2019,nl,5.0,3.5,4.14
cao-foodservice-groothandel-levensmiddelen-2017-2019,nl,2.67,4.5,3.71
cao-elektro-technische-detailhandel-2018-2019,nl,4.0,3.0,3.43
cao-dhl-logistics-2017-2019,nl,3.33,4.75,4.14
cao-metalektro-hp-2018-2020,nl,2.33,4.25,3.43
cao-metalektro-basis-2018-2020,nl,2.33,3.5,3.0
retailnonfood-2018_2020,nl,3.33,4.25,3.86
cao-meubelindustrie-en-meubileringsbedrijven-2018-2019,nl,5.0,4.25,4.57
cao-dsm-2018-2020,nl,3.67,3.5,3.57
recreatie-2019-2020,nl,4.33,4.25,4.29
cao-taxi-2019-2020,nl,1.0,4.5,3.0
cao-grafimedia-2018-2020,nl,2.67,3.0,2.86
cao-ikea-2016-2018,nl,3.67,3.0,3.29
cao-schilders-2016-2020,nl,3.67,4.25,4.0
cao-verzekeringsbedrijf-buitendienst-2018-2019,nl,2.0,3.5,2.86
cao-verzekeringsbedrijf-binnendienst-2018-2019,nl,2.67,3.0,2.86
cao-horeca-khn-2018-2019,nl,5.0,4.5,4.71
cao-bitumineuze-en-kunststof-dakbedekkingsbedrijven-2019-2020,nl,4.0,4.5,4.29
cao-houtverwerkende-industrie-2019-2020,nl,2.67,3.25,3.0
msd-2019,nl,1.0,3.75,2.57
cao-dnb-2018-2019,nl,1.67,3.0,2.43
cao-doe-het-zelfbranche-2017-2020,nl,2.33,4.0,3.29
cao-architectenbureaus-2019-2021,nl,2.33,3.0,2.71
cao-banken-2019-2020,nl,3.67,3.5,3.57
cao-apotheken-2017-2019,nl,2.67,2.75,2.71
afbouw-en-natuursteen-2018-2019,nl,1.67,4.25,3.14
cao-grootwinkelbedrijf-in-textiel-vgt-2015-2016,nl,1.0,3.0,2.14
cao-grootwinkelbedrijven-in-levensmiddelen-vgl-2013-2017,nl,3.67,3.75,3.71
cao-uitgeverijbedrijf-2015-2017,nl,1.0,3.0,2.14
cao-gespecialiseerde-detailhandel-in-bloemen-en-planten-2015-2017,nl,2.33,3.75,3.14
cao-doe-het-zelfbranche-2016-2017,nl,1.33,3.0,2.29
model-collective-agreement-on-gender-equality-and-fighting-the-gender-pay-gap-gpg-,en,2.0,2.75,2.38
cao-supermarkt-levensmiddelen-2013-2017-,nl,4.0,4.5,4.29
cao-ikea-2014-2016,nl,3.67,3.0,3.29
cao-groothandel-in-bloembollen-2015-2016,nl,2.33,3.5,3.0
collectieve-arbeidsovereenkomst-albert-heijn-2014,nl,4.33,3.0,3.57
collectieve-arbeidsovereenkomst-voor-de-technische-groothandel-2014,nl,3.33,4.5,4.0
cao-glastuinbouw---2014,nl,5.0,3.0,3.86
-ff-cosmetics-_2016---2017,el,2.33,2.0,2.14
-_-2016-,el,3.0,2.5,2.71
---_2014,el,3.67,2.0,2.71
-lidl---2016,el,3.0,2.75,2.86
l-or-al-hellas-luxury-division---2016,el,1.0,2.5,1.86
-----2016,el,1.33,2.5,2.0
-2015,el,1.0,1.75,1.43
-2016,el,2.67,2.0,2.29
working-rule-agreement-for-the-construction-industry---2016,en,3.75,3.0,3.38
framework-agreement-on-the-reform-of-nhs-pay-structure-for-agenda-for-change-staff--2018,en,3.25,3.0,3.12
sainsburys---2001,en,2.0,2.75,2.38
morrisons-retail-usdaw-and-sata---2013,en,2.0,3.0,2.5
asda---2010,en,2.0,3.0,2.5
agreement-between-argos-and-union-of-shop-distributive-and-allied-workers-usdaw---2015,en,2.0,2.5,2.25
agreement-between-primark-northern-ireland-and-union-of-shop-distributive-and-allied-workers-usdaw---december-2015,en,2.0,2.5,2.25
national-recognition-and-procedural-agreement-between-poundland-limited-retail-and-union-of-shop-distributive-and-allied-workers---2013,en,2.0,2.5,2.25
national-recognition-and-procedural-agreement-between-poundland-limited-distribution-and-union-of-shop-distributive-and-allied-workers---2014,en,2.0,2.75,2.38
recognition-and-procedural-agreement-ikea-uk-limited-and-the-union-of-shop-distributive-and-allied-workers-usdaw---2008,en,2.0,3.25,2.62
agreement-between-primark-gb-and-union-of-shop-distributive-and-allied-workers-usdaw---2015,en,2.0,3.0,2.5
agreement-between-b-m-retail-limited-in-relation-to-distribution-centre-employees-and-union-of-shop-distributive-and-allied-workers-usdaw---2015,en,2.0,2.75,2.38
tesco-partnership-agreement-with-usdaw---2016,en,2.25,3.0,2.62
worldwide-agreement-on-the-principles-of-arcelor-s-corporate-social-responsibility-2005,en,2.0,2.75,2.38
contract-colective-de-munc-la-nivelul-universit-ii-alexandru-ioan-cuza-ia-i-pe-anii-2014-2015,ro,2.67,3.25,3.0
contractul-colectiv-de-munc-ncheiat-la-nivelul-universit-ii-babe--bolyai-2015,ro,2.33,2.25,2.29
contract-colectiv-de-munc-la-nivel-de-unitate-spitalul-clinic-municipal-cluj-napoca-pe-anii-2019-2021,ro,3.67,2.5,3.0
contract-colectiv-de-munca-la-nivel-de-grup-de-unitati-producere-transport-distribu-ie-energie-termica-si-sau-electrica-2009,ro,4.0,2.5,3.14
contract-colectiv-de-munca-la-nivelul-spitalului-jude-ean-de-urgen-buz-u-2019-2021,ro,1.0,2.5,1.86
contract-colectiv-de-munc-la-nivelul-spitalului-clinic-jude-ean-mure-pe-anul-2018,ro,3.33,2.5,2.86
contract-colectiv-de-munc-la-nivel-de-unitate-spitalul-clinic-jude-ean-de-urgen-bra-ov-pe-anii-2018---2020,ro,3.33,2.25,2.71
contract-colectiv-de-munc-la-nivelul-universit-ii-apollonia-din-ia-i-2014,ro,3.0,2.5,2.71
contractul-colectiv-de-munca-la-nivelul-ramurii-comert-2010,ro,3.0,3.0,3.0
contract-colectiv-de-munca-la-nivelul-spitalului-jude-ean-de-urgen-piatra-neam-2019,ro,2.33,1.75,2.0
contractul-colectiv-de-munc-la-nivel-de-grup-de-unit-i-din-sectorul-de-activitate-nv-m-nt-superior-2017,ro,2.33,3.5,3.0
contract-colectiv-de-munc-la-nivelul-universit-ii-din-pite-ti-2019,ro,2.0,3.0,2.57
contractul-colectiv-de-munc-al-academiei-de-studii-economice-din-bucure-ti,ro,2.67,2.0,2.29
contractul-colectiv-de-munc-ncheiat-la-nivelul-universit-ii-alba-iulia-2018,ro,1.67,2.5,2.14
contract-colectiv-de-munc-unic-la-nivel-de-sector-de-activitate-nv-m-nt-preuniversitar-2019,ro,1.67,3.25,2.57
contractul-colectiv-de-munc-la-nivel-de-grup-de-unit-i-din-sectorul-de-activitate-nv-m-nt-superior-2019,ro,1.0,3.25,2.29
collective-agreement-on-the-service-reports-of-civil-servants-with-special-status---police-officers-from-the-ministry-of-internal-affairs-2017,ro,3.0,3.0,3.0
romania-county-neam-roman-municipality-local-council2019,ro,3.33,3.5,3.43
contractul-colectiv-de-munca-la-nivelul-universitatea-politehnica-din-bucure-ti-2018,ro,3.67,3.0,3.29
acord-colectiv-de-munca-la-nivelul-direc-iei-generale-de-asisten-social-i-protec-ia-copilului-sibiu-pentru-anul-2019,ro,2.0,2.5,2.29
acord-colectiv-privind-raporturile-de-serviciu-n-institutul-na-ional-de-statistic-pe-anul-2019,ro,4.33,3.0,3.57
contractul-colectiv-de-munc-incheiat-la-nivel-de-incdie-icpe-ca-pentru-anii-2019-2021,ro,3.33,2.75,3.0
contract-colectiv-de-munc-la-nivel-de-sector-bugetar-s-n-tate-pe-anii-2019-2021-nregistrat-la-m-m-j-s---d-d-s-sub-nr-1206-din-data-de-4-11-2019,ro,2.67,2.75,2.71
contractul-colectiv-de-munca-la-nivelul-ramuri-i-comert-pe-anul-2010,ro,3.67,3.0,3.29
kolektivni-ugovor-2015-zagrebac-ki-velesajam-zagrebac-ki-holding-general-ca,hr,4.0,2.0,2.86
kolektivni-ugovor-tisak-ca-2015,hr,1.67,1.5,1.57
kolektivni-ugovor-phoenix-farmacija-d-o-o-2016---2020,hr,1.0,1.25,1.14
kolektivni-ugovor-konzum-d-d-2012---2017,hr,1.0,2.25,1.71
hrvatski-sindikat-telekomunikacija-kolektivni-ugovor-2016---2017,hr,2.0,2.5,2.29
kolektivni-ugovor-ugostiteljstva-pro-i-eni-tekst---2015,hr,2.33,2.5,2.43
acuerdo-estatal-de-formacion-profesional-para-el-empleo-en-el-marco-del-sector-de-la-econom-a-y-la-industria-digital-y-constituci-n-de-la-estructura-paritaria-sectorial-2020---2024,es,2.25,3.0,2.62
iii-convenio-colectivo-de-la-empresa-acciona-facility-services-s-a-navantia-ferrol-2020---2022,es,3.75,2.75,3.25
convenio-colectivo-de-trabajo-de-la-empresa-nestl-global-services-spain-sl-para-el-periodo-01-04-2018-31-03-2021,es,3.5,2.5,3.0
v-convenio-colectivo-para-la-acuicultura-marina-nacional-2018-2020,es,2.5,3.0,2.75
xvii-convenio-colectivo-de-ford-espa-a-s-l-2019---2021,es,2.25,3.0,2.62
uni-telef-nica-acuerdo-global-2014,es,3.5,3.25,3.38
acuerdo-marco-entre-ferrovial-la-federaci-n-internacional-de-construcci-n-y-madera-fecoma-y-mca-2012,es,2.0,2.75,2.38
declaraci-n-sobre-derechos-sociales-y-relaciones-laborales-en-el-grupo-santander-2009,es,2.0,3.0,2.5
acuerdo-marco-acciona-la-federaci-n-internacional-de-construcci-n-y-madera-ccoo-de-construcci-n-y-servicios-mca-ugt-2014,es,2.0,2.75,2.38
i-acuerdo-laboral-estatutario-de-la-empresa-globalia-sistemas-y-comunicaciones-s-l-2019---2020,es,4.0,3.0,3.5
vi-convenio-colectivo-de-mbito-estatal-para-despachos-de-t-cnicos-tributarios-y-asesores-fiscales-2019---2020,es,2.0,3.0,2.5
convenio-colectivo-de-la-empresa-workcenter-servicios-globales-de-documentaci-n-s-a-2019---2023,es,2.5,3.0,2.75
convenio-colectivo-estatutario-para-la-empresa-protecci-n-salud-p-blica-s-l-prosal-s-l-en-la-provincia-de-almer-a-2020,es,2.5,3.0,2.75
convenio-colectivo-de-la-empresa-mediatrans-s-a-de-castell-n-2020-2024,es,3.75,3.0,3.38
convenio-colectivo-de-spanish-intoplane-services-s-l-u-sis-2018-2020,es,3.0,3.0,3.0
convenio-colectivo-para-cl-nicas-y-consultas-de-odontolog-a-de-la-provincia-de-segovia-2019---2022,es,3.0,2.75,2.88
convenio-colectivo-del-sector-comercio-del-mueble-de-zaragoza-2019---2021,es,3.0,3.0,3.0
convenio-colectivo-de-la-empresa-prismaser-2020-s-l-,es,2.75,2.5,2.62
ix-convenio-colectivo-de-lufthansa-cargo-ag-2019-2020,es,3.5,3.0,3.25
convenio-colectivo-de-empresa-de-delver-logistic-s-l-u-para-sus-centros-de-trabajo-de-pamplona-y-vitoria-2019-2021,es,3.5,3.0,3.25
convenio-colectivo-de-bab-y-c-a-s-l-2019,es,3.75,2.75,3.25
convenio-colectivo-de-blasdo-infraestructuras-s-l-2020---2023,es,2.5,2.75,2.62
ii-convenio-colectivo-del-grupo-de-empresas-tastia-group-2019---2022,es,2.5,3.0,2.75
convenio-colectivo-para-la-empresa-servicios-agrotur-sticos-riscal-sl-2019,es,3.0,2.5,2.75
convenio-colectivo-de-la-empresa-gea-refrigeration-ib-rica-s-a-a-os-2018-2019-2020,es,4.0,2.5,3.25
convenio-colectivo-entre-la-empresa-onet-iberia-soluciones-sa-y-sus-trabajadores-en-las-actividades-de-servicios-auxiliares-2019---2021,es,2.5,3.0,2.75
convenio-colectivo-de-la-empresa-hertz-de-espa-a-s-l-2019-2020-2021-,es,3.5,2.75,3.12
convenio-colectivo-de-manipulado-y-envasado-de-la-empresa-agronostrum-s-l-2019---2023,es,2.75,3.0,2.88
xiv-conveni-col-lectiu-de-treball-per-als-laboratoris-de-pr-tesi-dental-de-catalunya-2013---2015,es,2.5,3.0,2.75
convenio-colectivo-de-africor-lugo-2020,es,3.5,3.0,3.25
iv-convenio-colectivo-estatal-de-instalaciones-deportivas-y-gimnasios-2018---2019,es,2.0,3.0,2.5
convenio-colectivo-pasticore-s-l-2019---2024,es,2.5,3.0,2.75
convenio-colectivo-de-la-industria-y-el-comercio-de-la-vid-a-os-2019-2020-2021,es,3.0,2.5,2.75
convenio-colectivo-de-kupelan-kentucky-sociedad-cooperativa-2019---2022,es,2.5,2.5,2.5
vi-convenio-colectivo-de-telef-nica-servicios-audiovisuales-s-a-u-2017---2018,es,3.5,2.75,3.12
convenio-colectivo-de-la-empresa-nestl-espa-a-s-a-f-brica-de-gij-n-2018---2023,es,3.5,2.75,3.12
convenio-colectivo-entre-las-empresas-de-grupo-santander-relacionadas-en-el-art-culo-1-1-y-la-representaci-n-sindical-de-ccoo-para-los-a-os-2019-2020-2021-y-2022,es,3.0,2.75,2.88
convenio-colectivo-de-heineken-espa-a-s-a-2014-2020,es,2.0,3.0,2.5
convenio-colectivo-de-pilotos-easyjet-airline-company-limited-sucursal-en-espa-a-1-3-2019-28-2-2022-,es,2.0,3.0,2.5
53-convenio-colectivo-de-pilotos-easyjet-airline-company-limited-sucursal-en-espa-a-1-3-2019-28-2-2022-,es,2.0,3.0,2.5
ii-convenio-colectivo-estatal-del-personal-de-estructura-del-grupo-mercantil-iss-2016-2018,es,2.5,2.5,2.5
convenio-colectivo-entre-grupo-santander-consumer-finance-espa-a-y-las-representaciones-sindicales-de-ccoo-y-ugt-para-los-a-os-2015-2016-2017-y-2018,es,3.0,2.5,2.75
sexto-acuerdo-marco-del-grupo-arcelormittal-en-espana-2016---2018,es,2.0,2.5,2.25
convenio-colectivo-de-trabajo-de-la-empresa-radio-salud-sa-para-los-a-os-2019-2021,es,2.25,3.0,2.62
vii-convenio-colectivo-del-hotel-crowne-plaza-barcelona-fira-center-para-los-a-os-2019-2021,es,2.5,3.0,2.75
convenio-colectivo-de-la-empresa-olan-sa-2018---2021,es,3.5,2.5,3.0
convenio-colectivo-del-grupo-de-empresas-mercadona-s-a-y-forns-valencians-forva-s-a-unipersonal-2019---2023,es,2.5,2.5,2.5
xvii-convenio-colectivo-de-europcar-ib-s-a-para-los-a-os-2019-2020-y-2021,es,2.5,2.75,2.62
convenio-mapfre-grupo-asegurador-2018-2021,es,3.5,2.5,3.0
v-convenio-colectivo-de-retevisi-n-i-s-a-u-2018---2020,es,3.25,2.75,3.0
convenio-colectivo-de-trabajo-de-las-empresas-zurich-insurance-plc-sucursal-en-espa-a-zurich-vida-compa-a-de-seguros-y-reaseguros-s-a-sociedad-unipersonal-zurich-services-aie-2018-2020,es,3.5,2.75,3.12
convenio-colectivo-del-grupo-champion-supermercados-champion-s-a-y-grup-supeco-maxor-s-l-2019---2021,es,2.0,2.75,2.38
texto-del-xi-convenio-colectivo-de-red-el-ctrica-de-espa-a-s-a-u-2019---2021,es,3.0,2.25,2.62
convenio-colectivo-de-la-empresa-frit-ravich-s-l-2018---2019,es,2.25,2.75,2.5
convenio-colectivo-para-el-grupo-de-empresas-centro-farmac-utico-del-norte-y-centro-distribuidor-del-norte-para-los-a-os-2016-2017-2018-2019-2020,es,3.0,2.5,2.75
ii-convenio-colectivo-grupo-renfe-2019,es,3.25,3.0,3.12
acta-de-acuerdo-de-la-comisi-n-negociadora-relativa-al-i-acuerdo-marco-de-adaptaci-n-y-mejora-del-xix-convenio-general-de-la-industria-qu-mica-para-ercros-s-a-2019-,es,3.5,2.5,3.0
ii-convenio-colectivo-de-oficinas-corporativas-del-grupo-siemens-gamesa-renewable-energy-2019---2020,es,3.0,2.75,2.88
convenio-colectivo-nico-mahou-s-a-2019-2023,es,3.5,2.75,3.12
convenio-colectivo-de-la-empresa-electro-depot-espa-a-s-l-u-2019-2021,es,2.5,3.0,2.75
convenio-colectivo-estatal-del-comercio-minorista-de-droguer-as-herborister-as-y-perfumer-as-2017---2018,es,2.0,3.0,2.5
xxiii-convenio-colectivo-de-banca-2015-2018,es,2.0,3.0,2.5
xvii-convenio-colectivo-estatal-de-empresas-de-consultor-a-y-estudios-de-mercados-y-de-la-opini-n-p-blica-2019,es,2.0,3.25,2.62
convenio-colectivo-estatal-para-las-empresas-dedicadas-al-comercio-de-flores-y-plantas-2018---2020,es,2.75,3.0,2.88
